mode,horizon,level,eff_missing_pct,best_two_stage,best_end_to_end,gap,dataset
miss,6,5,5.1,24.85,26.32,-1.47,Delhi
miss,6,10,10.1,25.11,25.9,-0.79,Delhi
miss,6,20,20.1,25.05,27.05,-2.0,Delhi
miss,6,30,30.1,25.04,27.14,-2.1,Delhi
miss,6,40,40.1,25.42,28.04,-2.61,Delhi
miss,6,50,50.1,26.17,29.9,-3.73,Delhi
miss,6,60,60.0,26.25,32.24,-5.99,Delhi
miss,6,70,70.0,28.2,35.94,-7.74,Delhi
miss,24,0,0.1,33.54,28.09,5.45,Delhi
miss,24,5,5.1,33.52,27.93,5.6,Delhi
miss,24,10,10.1,33.08,27.69,5.39,Delhi
miss,24,20,20.1,32.64,27.74,4.9,Delhi
miss,24,30,30.1,32.79,27.6,5.19,Delhi
miss,24,40,40.1,31.15,28.01,3.15,Delhi
miss,24,50,50.1,31.26,28.81,2.45,Delhi
miss,24,60,60.0,31.49,30.45,1.04,Delhi
miss,24,70,70.0,30.48,31.77,-1.3,Delhi
miss,72,0,0.1,34.36,34.98,-0.62,Delhi
miss,72,5,5.1,34.35,35.28,-0.94,Delhi
miss,72,10,10.1,34.22,34.7,-0.48,Delhi
miss,72,20,20.1,34.05,34.25,-0.2,Delhi
miss,72,30,30.1,34.23,32.85,1.39,Delhi
miss,72,40,40.1,34.03,33.79,0.25,Delhi
miss,72,50,50.1,34.19,31.57,2.61,Delhi
miss,72,60,60.0,32.92,33.55,-0.63,Delhi
miss,72,70,70.0,31.23,32.82,-1.59,Delhi
out,6,0,0.1,24.78,26.63,-1.85,Delhi
out,6,5,6.0,25.2,27.47,-2.26,Delhi
out,6,10,10.5,26.93,28.95,-2.02,Delhi
out,6,20,21.0,28.21,30.85,-2.65,Delhi
out,6,30,30.5,29.2,30.91,-1.71,Delhi
out,6,40,40.6,29.98,33.05,-3.07,Delhi
out,6,50,50.5,31.17,33.76,-2.6,Delhi
out,6,60,60.5,31.23,37.2,-5.97,Delhi
out,6,70,70.8,32.49,39.93,-7.44,Delhi
out,24,0,0.1,33.54,28.09,5.45,Delhi
out,24,5,6.0,33.71,28.65,5.07,Delhi
out,24,10,10.5,32.96,28.99,3.97,Delhi
out,24,20,21.0,34.67,29.3,5.37,Delhi
out,24,30,30.5,33.76,28.5,5.25,Delhi
out,24,40,40.6,33.63,29.24,4.38,Delhi
out,24,50,50.5,34.79,30.82,3.97,Delhi
out,24,60,60.5,34.48,32.55,1.93,Delhi
out,24,70,70.8,34.31,34.66,-0.35,Delhi
out,72,0,0.1,34.36,34.98,-0.62,Delhi
out,72,5,6.0,34.7,35.09,-0.39,Delhi
out,72,10,10.5,35.05,34.75,0.3,Delhi
out,72,20,21.0,36.36,35.22,1.14,Delhi
out,72,30,30.5,35.3,34.65,0.66,Delhi
out,72,40,40.6,34.1,33.68,0.42,Delhi
out,72,50,50.5,33.06,35.48,-2.41,Delhi
out,72,60,60.5,32.7,36.34,-3.64,Delhi
out,72,70,70.8,32.02,34.54,-2.51,Delhi
